"Table 4 - Full list of first forenames given, Scotland, 2009",,,,
,,,,
Boys names,Number of babies,,Girls names,Number of babies
AADAM,2,,A'ISHA,1
AADEN,3,,AAILA,1
AADVIK,1,,AAIRAH,2
AAGMAN,1,,AAISHAH,1
AAHIL,2,,AAIZA,1
AAKASH,1,,AALEAH,1
AALIM,1,,AALIEGHA,1
AAMIR,1,,AALIYAH,14
AARAN,6,,AAMINA,2
AARAV,4,,AAMNA,1
AARIZ,1,,AANISAH,1
AARNAV,1,,AANYA,1
AARON,376,,AAROHI,1
AARRON,4,,AARUSHI,1
AARYAN,2,,AASHNA,1
AARYAV,1,,AASIYA,1
AARYN,2,,AAVA,1
AASHISH,1,,ABBE,1
AATHREY,1,,ABBEY,23
AAYAN,6,,ABBEY-LOUISE,1
AAYDN,1,,ABBI,20
AAYUSH,1,,ABBI-LEIGH,1
AAZAN,1,,ABBIE,165
ABBAS,1,,ABBIE-JO,1
ABBIE,1,,ABBIE-LEE,1
ABD,3,,ABBIE-LEI,1
ABDALLAH,1,,ABBIE-LEIGH,2
ABDEL,1,,ABBIE-ROSE,1
ABDELRAHMAN,1,,ABBIEGAIL,2
ABDOUALLAH,1,,ABBIGAEL,1
ABDOULIE,1,,ABBIGAIL,2
ABDUL,11,,ABBIGALE,1
ABDUL-BASIT,1,,ABBINEY,1
ABDUL-MAJEED,1,,ABBY,51
ABDUL-RAHMAN,1,,ABBY-LEIGH,2
ABDULFATAH,1,,ABBYGAIL,1
ABDULFAWAZ,1,,ABEER,1
ABDULHADI,1,,ABEERAH,1
ABDULHAMID,1,,ABHITHI,1
ABDULLAH,13,,ABI,36
ABDULLAHI,1,,ABI-JO,1
ABDULLBASIT,1,,ABI-TAYLOR,1
ABDULMAJEED,1,,ABIGAEL,2
ABDULMOAMEN,1,,ABIGAIL,133
ABDULRAHMAN,2,,ABIGAIL-ROSE,1
ABDUR-RAHMAN,1,,ABIGALE,2
ABDUS-SALAM,1,,ABILEIGH,1
ABDUS-SAMAD,1,,ABISHA,1
ABDUSHAKUR,1,,ABOMMA,1
ABE,1,,ABRIN,1
ABED,1,,ABY,1
ABEL,2,,ADA,5
ABISHAN,1,,ADAH,1
ABRAHAM,4,,ADAOBI,1
ABU,2,,ADAYRE,1
ABUBAKAR,2,,ADDISON,8
ABUBAKER,1,,ADEDAMOLA,1
ABUKAR,1,,ADELA,1
ADAM,274,,ADELAIDE,2
ADAM-JESSE,1,,ADELE,6
ADAM-JORG,1,,ADELINE,1
ADDISON,1,,ADELLE,4
ADEBAYO,1,,ADEMOE,1
ADEM,2,,ADESOLA,1
ADEN,17,,ADI,1
ADESH,1,,ADIA,1
ADI,1,,ADIAN,2
ADIAN,3,,ADISON,1
ADIEL,1,,ADISYN,1
ADIL,2,,ADIYA,1
ADITHYA,1,,ADLYNA,1
ADITYA,2,,ADORA,1
ADONIS,1,,ADRIANA,3
ADRIAN,18,,ADRIANE-ANGEL,1
ADRIANS,1,,ADRIANNA,1
ADRIEN,2,,ADVIKA,1
ADWAIT,1,,ADWOAH,1
ADWELL,1,,AEKJOT,1
ADWIN,1,,AELA,4
ADYN,1,,AELEIGH,1
AED,1,,AERIN,1
AEDAN,8,,AESHA,1
AEREN,1,,AEVA-LOUISE,1
AERON,1,,AFEEFAH,1
AEZAZ,1,,AFNAN,1
AFOLABI,1,,AFRAA,1
AHMAD,8,,AFTON,2
AHMED,5,,AFUA,1
AHNAF,1,,AGATA,3
AHREN,1,,AGNES,2
AHRON,1,,AGNIESZKA,1
AIDAN,135,,AIBHLINN,1
AIDAN-JAMES,1,,AICHA,1
AIDEN,310,,AIEESHA,1
AIDEN-JAMES,1,,AIESHA,1
AIDYN,4,,AILA,7
AILBE,1,,AILAINA,1
AILEAN,1,,AILANA,1
AIN,1,,AILAYH,1
AIVEN,1,,AILEANA,1
AJ,2,,AILEEN,2
AJAY,6,,AILEIGH,4
AKACHUKWUJIM,1,,AILEY,6
AKINTAYO,1,,AILIDH,11
AKINTOMIWA,1,,AILIE,8
AKITO,1,,AILISH,4
AKSHAY,1,,AILLIE,2
AKUILA,1,,AILSA,34
AL-MOAYAD,1,,AILYSH,1
ALAISDAIR,1,,AIMAL,1
ALAISTAIR,1,,AIMEE,182
ALAN,44,,AIMEE-JANE,1
ALASDAIR,32,,AIMEE-LEE,2
ALASTAIR,23,,AIMEE-LEIGH,10
ALASTAIRE,1,,AIMEE-LOUISE,3
ALBARAA,1,,AIMEN,1
ALBERT,2,,AIMEY,1
ALBIN,1,,AIMEY-LOUISE,1
ALBY,1,,AIMI,1
ALEC,2,,AIMIE,4
ALECHANDRE,1,,AIMIE-JAI,1
ALEJANDRO,3,,AIMIEE,1
ALEK,1,,AIMY,2
ALEKS,2,,AINARA,1
ALEKSANDER,10,,AINE,5
ALEKSANDR,1,,AINSLEY,5
ALESSANDRO,2,,AINSLIE,1
ALESSIO,1,,AIRA,1
ALEX,73,,AISHA,21
ALEXANDER,321,,AISHAH,1
ALEXANDER-JAMES,1,,AISHWARYA,2
ALEXANDR,1,,AISLA,2
ALEXANDRE,1,,AISLEIGH-RAE,1
ALEXEI,1,,AISLING,2
ALEXI,1,,AISLINN,3
ALEXZANDER,4,,AIVA,5
ALFEY,1,,AIYANA,1
ALFI,2,,AIYANNA,1
ALFIE,170,,AIZA,1
ALFIE-JOHN,1,,AIZAH,3
ALFRED,19,,AJWA,1
ALI,18,,AJWAA,1
ALI-ABBAS,1,,AKALYA,1
ALI-ASGHER,1,,AKIRA,1
ALI-HUSSAN,1,,ALAA,1
ALI-MUHAMMAD,1,,ALAE,1
ALICK,1,,ALAIA,1
ALISDAIR,3,,ALAIDA,1
ALISTAIR,37,,ALAINA,1
ALISTER,1,,ALAMANDA,1
ALIX,2,,ALANA,28
ALLAN,19,,ALANI,1
ALLAN-JAMES,1,,ALANIS,1
ALLEN,1,,ALANNA,10
ALLICK,1,,ALANNAH,8
ALLISTAIR,1,,ALARA,1
ALLY,3,,ALAYNA,4
ALMEHDI,1,,ALBA,4
ALMONTATHER,1,,ALBATOL,1
ALMONTISER,1,,ALEAH,6
ALPER,1,,ALECIA,1
ALPHONSE,1,,ALECIA-HAYLEIGH,1
ALVIN,2,,ALEECIA,1
ALZUBAIR,1,,ALEEHA,1
AMAAN,2,,ALEENA,8
AMAAR,1,,ALEESHA,8
AMAARI,1,,ALEEZA,6
AMAL,2,,ALEIGHA,2
AMANDEEP,1,,ALEIGHYA,1
AMANDEV,1,,ALEISHA,9
AMANZHAN,1,,ALEISHA-LEIGH,1
AMARDEV,1,,ALEISHA-MARIE,1
AMEEN,1,,ALEISHIA,1
AMEER,1,,ALEKSANDRA,14
AMEIN,1,,ALESHA,39
AMIN,1,,ALESHA-JANE,1
AMINDEEP,1,,ALESHIA,1
AMIR,4,,ALESIA,1
AMJAD,1,,ALESJA,1
AMMAR,2,,ALESSA,1
AMMAZ,1,,ALESSIA,4
AMOGH,1,,ALEX,46
AMOR,1,,ALEXA,21
AMRIDEAN,1,,ALEXA-ABBY,1
AMRITBIR,1,,ALEXANDRA,57
ANAS,5,,ALEXANDREA,1
ANATOLE,1,,ALEXANDRIA,4
ANDAM,1,,ALEXANDRINA,1
ANDERS,3,,ALEXIA,5
ANDERSON,3,,ALEXIS,33
ANDREAS,3,,ALEXIS-ROSE,1
ANDREAS-JAMES,1,,ALEXIUS-LEE,1
ANDREI,2,,ALEXSANDRA,1
ANDRES,1,,ALEXSEY,1
ANDREU,1,,ALEXX,1
ANDREW,206,,ALEXYZ,1
ANDREY,1,,ALEYAH,1
ANDRZEJ,1,,ALEYNA,2
ANDY,3,,ALI,2
ANEEQ,1,,ALIA,4
ANGUS,91,,ALIANA,1
ANIS,1,,ALIANNA,1
ANISH,1,,ALICE,39
ANJOLAOLUWA,2,,ALICIA,24
ANMOL,1,,ALICIA-JANE,1
ANSEL,1,,ALICIA-LOUISE,1
ANSH,2,,ALICJA,12
ANSHUMAN,1,,ALIEHS,1
ANTHONY,46,,ALIESHA-MAY,1
ANTON,6,,ALIHA,1
ANTONI,8,,ALIKA,1
ANTONIO,4,,ALINA,6
ANTONY,9,,ALISA,3
AODHAN,3,,ALISBHA,1
AONAN,1,,ALISE,2
AQEEL,1,,ALISHA,35
ARAAN,1,,ALISHBA,2
ARAM,1,,ALISHIA,4
ARAN,5,,ALISON,9
ARCHER,1,,ALISSA,5
ARCHIBALD,18,,ALISSIA,1
ARCHIE,137,,ALIVIA,1
ARDA,4,,ALIX,17
AREN,2,,ALIXE,1
ARGYLE,1,,ALIXS,1
ARGYLL,1,,ALIYA,4
ARIAN,2,,ALIYAH,3
ARIF,1,,ALIZA,4
ARIJUS,1,,ALIZAH,1
ARIN,3,,ALLA,1
ARINJAY,1,,ALLANA,1
ARIS,1,,ALLANA-JO,1
ARJUN,4,,ALLANNA,1
ARKADIUSZ,2,,ALLANNAH,2
ARKADY,1,,ALLEGRA,3
ARLO,7,,ALLI,1
ARLOWE,1,,ALLIE,8
ARMAAN,6,,ALLISHA,1
ARMAN,1,,ALLISIA,1
ARMANDAS,1,,ALLISON,1
ARMANO,1,,ALLY,2
ARNAV,1,,ALLYESA,1
ARNOLD,2,,ALLYSON,1
ARNOLDUS,1,,ALMAR,1
ARON,7,,ALMAS,1
AROOSH,1,,ALMINA,1
ARRAN,108,,ALTHEA,1
ARRAN-WILLIAM,1,,ALYA,3
ARRIN,1,,ALYCIA,1
ARROL,1,,ALYESHA,1
ARRON,15,,ALYS,1
ARSENE,1,,ALYSA,1
ARSH,1,,ALYSHA-MAY,1
ARSHAD,1,,ALYSHIA,1
ARSHIA,1,,ALYSIA,3
ARTEMY,1,,ALYSS,1
ARTHUR,13,,ALYSSA,37
ARTIAN,1,,ALYX,6
ARTIS,1,,ALYZA,1
ARTUR,5,,ALZAHRA,1
ARTYOM,1,,ALZAHRAA,1
ARUN,2,,AMA,1
ARYA,1,,AMAAN,1
ARYAN,8,,AMAANI,1
ASAD,1,,AMAL,1
ASER,1,,AMALEIGH,1
ASH,1,,AMALYA,1
ASHAZ,1,,AMANDA,15
ASHEL,1,,AMANDA-JANE,1
ASHER,3,,AMANDINE,1
ASHFAN,1,,AMARA,3
ASHLEY,3,,AMARACHI,1
ASHMIN,1,,AMARAH,1
ASHRAF,1,,AMARANTH,1
ASHRITH,1,,AMAYA,5
ASHTON,59,,AMBAR,2
ASHTON-LEE,1,,AMBER,119
ASHTYN,3,,AMBER-LEIGH,3
ASHVIK,1,,AMBER-LILY,1
ASHWIN,1,,AMBER-MAY,1
ASIF,1,,AMBIKA,1
ASLAM,1,,AMBRE,1
ASTERIOS,1,,AMBUR,1
ASTON,19,,AME,1
ASTON-LEE,1,,AMEERA,7
ASTYN,1,,AMEERAH,1
ASYRAF,1,,AMEERAN,1
ATANAS,1,,AMELIA,120
ATHAN,1,,AMELIE,54
ATHANAFIS,1,,AMELLIA,1
