Name,Year,F,M
A,2001,0,3
A,2006,0,5
A,2007,0,6
A,2008,0,5
A,2010,0,6
A,2011,0,7
A,2012,0,17
A-jay,2001,0,3
A-jay,2002,0,4
A-jay,2004,0,8
A-jay,2005,0,3
A-jay,2006,0,5
A-jay,2007,0,5
A-jay,2008,0,5
A-jay,2009,0,4
A-jay,2010,0,8
A-jay,2011,0,8
A-jay,2012,0,6
A.j.,1999,0,3
A.j.,2009,0,3
A'isha,1998,4,0
A'isha,2001,8,0
A'isha,2003,3,0
A'isha,2004,4,0
A'isha,2005,3,0
A'isha,2007,10,0
A'isha,2008,4,0
A'isha,2009,6,0
A'isha,2010,6,0
A'isha,2011,4,0
A'isha,2012,5,0
A'ishah,1998,4,0
A'ishah,1999,4,0
A'ishah,2000,3,0
A'ishah,2001,8,0
A'ishah,2002,5,0
A'ishah,2003,6,0
A'ishah,2004,6,0
A'ishah,2005,5,0
A'ishah,2006,3,0
A'ishah,2007,7,0
A'ishah,2008,4,0
A'ishah,2010,9,0
A'ishah,2011,3,0
A'ishah,2012,5,0
Aa'isha,2004,3,0
Aa'isha,2012,3,0
Aa'ishah,1997,3,0
Aa'ishah,1999,3,0
Aa'ishah,2002,5,0
Aa'ishah,2007,4,0
Aa'ishah,2008,3,0
Aaban,2007,0,3
Aaban,2008,0,7
Aaban,2009,0,5
Aaban,2010,0,11
Aaban,2011,0,11
Aaban,2012,0,19
Aabas,2012,0,1
Aabia,2011,1,0
Aabid,1998,0,3
Aabid,2000,0,5
Aabid,2001,0,3
Aabid,2006,0,3
Aabid,2010,0,5
Aabidammar,2011,0,1
Aadam,1996,0,28
Aadam,1997,0,30
Aadam,1998,0,49
Aadam,1999,0,53
Aadam,2000,0,42
Aadam,2001,0,48
Aadam,2002,0,77
Aadam,2003,0,69
Aadam,2004,0,67
Aadam,2005,0,84
Aadam,2006,0,66
Aadam,2007,0,72
Aadam,2008,0,77
Aadam,2009,0,89
Aadam,2010,0,65
Aadam,2011,0,82
Aadam,2012,0,91
Aadarsh,2007,0,4
Aadarsh,2011,0,4
Aaden,2009,0,7
Aaden,2010,0,7
Aaden,2011,1,3
Aaden,2012,0,1
Aadham,2003,0,3
Aadham,2012,0,3
Aadhav,2012,0,7
Aadhithya,2012,0,3
Aadhya,2011,5,0
Aadhya,2012,15,0
Aadi,2005,0,9
Aadi,2006,0,16
Aadi,2007,0,6
Aadi,2008,0,13
Aadi,2009,0,23
Aadi,2010,0,16
Aadi,2011,0,11
Aadi,2012,0,14
Aadil,1996,0,28
Aadil,1997,0,23
Aadil,1998,0,32
Aadil,1999,0,39
Aadil,2000,0,32
Aadil,2001,0,34
Aadil,2002,0,34
Aadil,2003,0,28
Aadil,2004,0,35
Aadil,2005,0,39
Aadil,2006,0,30
Aadil,2007,0,32
Aadil,2008,0,19
Aadil,2009,0,16
Aadil,2010,0,21
Aadil,2011,0,29
Aadil,2012,0,17
Aadila,2010,3,0
Aadit,2007,0,5
Aadit,2008,0,4
Aadit,2009,0,11
Aadit,2010,0,5
Aadit,2011,0,3
Aadit,2012,0,10
Aaditri,2012,3,0
Aaditya,1997,0,3
Aaditya,1999,0,3
Aaditya,2005,0,5
Aaditya,2006,0,4
Aaditya,2007,0,10
Aaditya,2008,0,5
Aaditya,2009,0,8
Aaditya,2010,0,10
Aaditya,2011,0,9
Aaditya,2012,0,13
Aadityaram,2012,0,1
Aadvik,2009,0,1
Aadvika,2011,1,0
Aadya,2007,7,0
Aadya,2008,5,0
Aadya,2009,3,0
Aadya,2010,4,0
Aadya,2011,10,4
Aadya,2012,12,3
Aadyn,2010,0,1
Aaeedah,2010,1,0
Aaeesha,2010,1,0
Aaeesha,2011,6,0
Aaeesha,2012,9,0
Aaella,2011,1,0
Aafia,2005,3,0
Aafia,2007,3,0
Aafia,2008,5,0
Aafia,2010,9,0
Aafia,2011,10,0
Aafia,2012,10,0
Aafiya,2007,3,0
Aafiya,2010,4,0
Aafiyah,2005,3,0
Aafiyah,2008,4,0
Aafiyah,2010,6,0
Aafiyah,2011,5,0
Aafiyah,2012,8,0
Aafreen,2001,4,0
Aafreen,2002,5,0
Aafreen,2003,6,0
Aafreen,2005,6,0
Aafreen,2008,5,0
Aafreen,2009,3,0
Aafreen,2010,4,0
Aafreen,2011,6,0
Aafreen,2012,11,0
Aafrin,2002,3,0
Aafrin,2008,3,0
Aafrin,2009,3,0
Aagat,2010,0,1
Aagman,2009,0,1
Aahad,2003,0,3
Aahad,2004,0,5
Aahad,2008,0,3
Aahan,2008,0,4
Aahan,2009,0,3
Aahan,2011,0,4
Aahan,2012,0,5
Aahana,2007,4,0
Aahana,2008,4,0
Aahana,2009,7,0
Aahana,2010,10,0
Aahana,2011,9,0
Aahana,2012,9,0
Aahil,2004,0,7
Aahil,2005,0,9
Aahil,2006,0,4
Aahil,2007,0,9
Aahil,2008,0,22
Aahil,2009,0,29
Aahil,2010,0,40
Aahil,2011,0,34
Aahil,2012,0,60
Aahna,2010,7,0
Aahna,2011,3,0
Aahron,2012,0,1
Aaidah,2012,1,0
Aaila,2008,4,0
Aaila,2009,8,0
Aaila,2010,7,0
Aaila,2011,10,0
Aaila,2012,8,0
Aailyah,2007,3,0
Aaima,2007,3,0
Aaima,2008,3,0
Aaima,2009,10,0
Aaima,2010,9,0
Aaima,2011,6,0
