Name,years.appearing,counts.female,counts.male,prob.gender,emp.male,est.male,upper,lower
A,6,0,32,Male,1,1,1.0201388771232,0.872681924621729
A-jay,10,0,52,Male,1,1,1.01340344539561,0.917804318480525
A.j.,2,0,6,Male,1,1,1.05244648969589,0.557219222401941
A'isha,10,52,0,Female,0,0,1.01340344539561,0.917804318480525
A'ishah,13,67,0,Female,0,0,1.01070722189196,0.935066638716736
Aa'isha,1,3,0,Female,0,0,1.05597453703631,0.382528431208642
Aa'ishah,5,18,0,Female,0,0,1.03083164145996,0.793289134893386
Aaban,5,0,37,Male,1,1,1.01789725940812,0.888044914754675
Aabid,5,0,19,Male,1,1,1.02972128304972,0.802099492897666
Aadam,16,0,996,Male,1,1,1.00079310758437,0.995364824468951
Aadarsh,2,0,8,Male,1,1,1.04776037949305,0.627832055623071
Aaden,3,0,17,Male,1,1,1.03202273223858,0.783659132752567
Aadham,1,0,3,Male,1,1,1.05597453703631,0.382528431208642
Aadhya,1,5,0,Female,0,0,1.05457239484969,0.51094514036714
Aadi,7,0,94,Male,1,1,1.00785758841732,0.952880335291131
Aadil,16,0,470,Male,1,1,1.00166739575899,0.990225549129671
Aadila,1,3,0,Female,0,0,1.05597453703631,0.382528431208642
Aadit,5,0,28,Male,1,1,1.02237307833611,0.856983616898048
Aaditya,9,0,57,Male,1,1,1.01236610687025,0.924495058276776
Aadvik,1,0,1,Male,1,1,1.03904982889782,0.167499485479413
Aadya,5,29,4,Female,0.121212121212121,0.121212121212121,0.957883651601392,0.72069968359372
Aadyn,1,0,1,Male,1,1,1.03904982889782,0.167499485479413
Aaeedah,1,1,0,Female,0,0,1.03904982889782,0.167499485479413
Aaeesha,2,7,0,Female,0,0,1.05010879551787,0.59556076941544
Aafia,5,30,0,Female,0,0,1.02119830296566,0.865288303860374
Aafiya,2,7,0,Female,0,0,1.05010879551787,0.59556076941544
Aafiyah,4,18,0,Female,0,0,1.03083164145996,0.793289134893386
Aafreen,8,39,0,Female,0,0,1.017133005255,0.893200141037433
Aafrin,3,9,0,Female,0,0,1.04549522023528,0.655359731345175
Aagat,1,0,1,Male,1,1,1.03904982889782,0.167499485479413
Aagman,1,0,1,Male,1,1,1.03904982889782,0.167499485479413
Aahad,3,0,11,Male,1,1,1.04135282225748,0.699814210774485
Aahan,3,0,11,Male,1,1,1.04135282225748,0.699814210774485
Aahana,5,32,0,Female,0,0,1.0201388771232,0.872681924621729
