Name,YearsAppearing,ImputedProbF,ImputedProbM
A,6,0,1
A-JAY,10,0,1
A.J.,2,0,1
A'ISHA,10,1,0
A'ISHAH,13,1,0
AA'ISHA,1,1,0
AA'ISHAH,5,1,0
AABAN,5,0,1
AABID,5,0,1
AADAM,16,0,1
AADARSH,2,0,1
AADEN,3,0,1
AADHAM,1,0,1
AADHYA,1,1,0
AADI,7,0,1
AADIL,16,0,1
AADILA,1,1,0
AADIT,5,0,1
AADITYA,9,0,1
AADYA,5,0.942857142857143,0.0571428571428571
AAEESHA,1,1,0
AAFIA,5,1,0
AAFIYA,2,1,0
AAFIYAH,4,1,0
AAFREEN,8,1,0
AAFRIN,3,1,0
AAHAD,3,0,1
AAHAN,3,0,1
AAHANA,5,1,0
AAHIL,8,0,1
AAHNA,2,1,0
AAILA,4,1,0
AAILYAH,1,1,0
AAIMA,5,1,0
AAINA,1,1,0
AAIRA,3,1,0
AAIRAH,3,1,0
AAISHA,16,1,0
AAISHAH,16,1,0
AAIZA,6,1,0
AAIZAH,1,1,0
AAKARSH,1,0,1
AAKASH,14,0,1
AAKIFA,3,1,0
AAKIFAH,15,1,0
AALA,6,1,0
AALAA,3,1,0
AALAYA,1,1,0
AALAYAH,5,1,0
AALEAH,1,1,0
AALEIGHA,2,1,0
AALEYAH,8,1,0
AALIA,15,1,0
AALIAH,15,1,0
AALIM,1,0,1
AALIMAH,3,1,0
AALISHA,4,1,0
AALIYA,16,1,0
AALIYAH,16,1,0
AALIYAH-LOUISE,1,1,0
AALIYAH-MAE,1,1,0
AALIYAH-MARIE,1,1,0
AALIYAH-ROSE,1,1,0
AALIYAN,2,0,1
AALIYHA,5,1,0
AALLIYAH,1,1,0
AALYA,1,1,0
AALYAH,1,1,0
AALYIAH,1,1,0
AAMAN,5,0,1
AAMANAH,1,1,0
AAMANEE,2,1,0
AAMANI,6,1,0
AAMAR,2,0,1
AAMENA,15,1,0
AAMENAH,8,1,0
AAMER,4,0,1
AAMIL,3,0,1
AAMILAH,9,1,0
AAMINA,16,1,0
AAMINAH,16,1,0
AAMIR,16,0,1
AAMIRA,10,1,0
AAMIRAH,16,1,0
AAMNA,16,1,0
AAMNAH,10,1,0
AANCHAL,2,1,0
AANIA,5,1,0
AANIKA,1,1,0
AANIS,1,0,1
AANISAH,9,1,0
AANISHA,1,1,0
AANIYA,3,1,0
AANIYAH,2,1,0
AANYA,13,1,0
AAQIB,15,0,1
AAQIL,6,0,1
AARA,3,1,0
AARABI,2,1,0
AARAN,16,0,1
AARANI,3,1,0
AARAV,8,0,1
AAREN,5,0,1
AAREZ,2,0,1
AARIA,1,1,0
AARIAN,8,0,1
AARIANA,1,1,0
AARIB,4,0,1
AARIC,1,0,1
AARIF,5,0,1
AARIFAH,11,1,0
AARIKA,1,1,0
AARIN,2,0,1
AARINI,1,1,0
AARIS,2,0,1
AARISH,2,0,1
AARIYA,4,1,0
AARIYAN,6,0,1
AARIZ,8,0,1
AARNA,5,1,0
AARNAV,5,0,1
AARO,1,0,1
AARON,16,0,1
AARON-JAMES,5,0,1
AARON-JAY,1,0,1
AARON-LEE,2,0,1
AARONDEEP,11,0,1
AARONJIT,1,0,1
AARONVEER,4,0,1
AAROON,3,0,1
AARRON,16,0,1
AARSH,1,0,1
AARTHI,2,1,0
AARTI,11,1,0
AARUN,10,0,1
AARUSH,7,0,1
AARUSHI,10,1,0
AARVI,1,1,0
AARVIN,1,0,1
AARYA,9,0.836652992566971,0.163347007433029
AARYAN,12,0,1
AARYANNA,1,1,0
AARYN,1,0,1
AARZO,1,1,0
AARZOO,7,1,0
AARZU,1,1,0
AASHA,7,1,0
AASHI,7,1,0
AASHIKA,3,1,0
AASHIR,9,0,1
AASHISH,6,0,1
AASHNA,8,1,0
AASHNI,6,1,0
AASHRITHA,1,1,0
AASHVI,1,1,0
AASIA,9,1,0
AASIF,2,0,1
AASIM,14,0,1
AASIYA,15,1,0
AASIYAH,16,1,0
AASTHA,5,1,0
AATHAVAN,1,0,1
AATIF,10,0,1
AATIFA,1,1,0
AATIKA,7,1,0
AATIKAH,13,1,0
AATIQA,2,1,0
AATIQAH,3,1,0
AATISH,1,0,1
AAVA,2,1,0
AAYA,9,1,0
AAYAAN,5,0,1
AAYAH,6,1,0
AAYAN,8,0,1
AAYAT,5,1,0
AAYESHA,3,1,0
AAYLA,4,1,0
AAYRA,1,1,0
AAYSHA,3,1,0
AAYUSH,14,0,1
AAYUSHI,7,1,0
AAYZA,1,1,0
AAZAN,1,0,1
AAZEEN,1,1,0
ABA,2,1,0
ABAAN,5,0,1
ABAAS,7,0,1
ABAGAEL,1,1,0
ABAGAIL,5,1,0
ABAIGEAL,1,1,0
ABAN,5,0,1
ABANOUB,1,0,1
ABAS,8,0,1
ABASS,7,0,1
ABAYOMI,7,0,1
ABBAAS,8,0,1
ABBAS,16,0,1
ABBASS,1,0,1
ABBE,4,1,0
ABBEE,2,1,0
ABBEY,16,1,0
ABBEY-LEIGH,2,1,0
ABBEY-LOUISE,1,1,0
ABBEYGAIL,9,1,0
ABBEYGALE,4,1,0
ABBEYGAYLE,1,1,0
ABBI,16,1,0
ABBI-LEIGH,1,1,0
ABBI-MAE,1,1,0
ABBIE,16,1,0
ABBIE-GAIL,1,1,0
ABBIE-GAYLE,1,1,0
ABBIE-GRACE,1,1,0
ABBIE-JANE,1,1,0
ABBIE-JO,6,1,0
ABBIE-LEA,2,1,0
ABBIE-LEE,1,1,0
ABBIE-LEIGH,16,1,0
ABBIE-LOUISE,13,1,0
ABBIE-MAE,7,1,0
ABBIE-MAI,1,1,0
ABBIE-MAY,9,1,0
ABBIE-ROSE,5,1,0
ABBIEGAIL,15,1,0
ABBIEGALE,4,1,0
ABBIEGAYLE,1,1,0
ABBIELEIGH,1,1,0
ABBIELOUISE,1,1,0
ABBIGAIL,16,1,0
ABBIGALE,10,1,0
ABBIGAYLE,7,1,0
ABBY,16,1,0
ABBY-LEIGH,2,1,0
ABBY-MAY,1,1,0
ABBYGAIL,14,1,0
ABBYGALE,3,1,0
ABBYGAYLE,2,1,0
ABD,15,0,1
ABDAL,3,0,1
ABDALLA,13,0,1
ABDALLAH,15,0,1
ABDALRAHMAN,2,0,1
ABDARAHMAN,1,0,1
ABDEL,15,0,1
ABDELAZIZ,1,0,1
ABDELKADER,1,0,1
ABDELKARIM,2,0,1
ABDELLAH,5,0,1
ABDELMALEK,2,0,1
ABDELRAHIM,1,0,1
ABDELRAHMAN,8,0,1
ABDELRAHMANE,1,0,1
ABDERAHMAN,2,0,1
ABDERAHMANE,1,0,1
ABDERRAHMANE,1,0,1
ABDI,16,0,1
ABDIASIS,1,0,1
ABDIAZIZ,8,0,1
ABDIFATAH,13,0,1
ABDIHAFID,1,0,1
ABDIHAKIM,4,0,1
ABDIHAKIN,1,0,1
ABDIHAMID,3,0,1
ABDIKADIR,2,0,1
ABDIKARIM,9,0,1
ABDIKARIN,1,0,1
ABDIKHALIQ,1,0,1
ABDILADIF,1,0,1
ABDILAHI,5,0,1
ABDILLAHI,12,0,1
ABDIMAJID,2,0,1
ABDIMAJIID,1,0,1
ABDIMALIK,12,0,1
ABDINASIR,11,0,1
ABDIQANI,6,0,1
ABDIRAHIIM,1,0,1
ABDIRAHIM,12,0,1
ABDIRAHMAAN,2,0,1
ABDIRAHMAN,16,0,1
ABDIRASHID,7,0,1
ABDIRAXMAN,1,0,1
ABDIRAZAQ,1,0,1
ABDIRISAQ,4,0,1
ABDIRIZAK,7,0,1
ABDISALAM,4,0,1
ABDISAMAD,5,0,1
ABDISHAKUR,8,0,1
ABDIWAHAB,1,0,1
ABDIWAHID,1,0,1
ABDIWALI,1,0,1
ABDOU,9,0,1
ABDOUL,4,0,1
ABDOULAYE,4,0,1
ABDOULIE,12,0,1
ABDOULLAH,1,0,1
ABDOURAHMAN,2,0,1
ABDU,6,0,1
ABDUALLAH,1,0,1
ABDUL,16,0,1
ABDUL-,5,0,1
ABDUL-AHAD,4,0,1
ABDUL-ALEEM,1,0,1
ABDUL-AZEEZ,5,0,1
ABDUL-AZIZ,8,0,1
ABDUL-BAASIT,1,0,1
ABDUL-BASIT,1,0,1
ABDUL-HAADI,1,0,1
ABDUL-HADI,4,0,1
ABDUL-HAKEEM,5,0,1
ABDUL-HANNAN,1,0,1
ABDUL-HASEEB,1,0,1
ABDUL-KAREEM,5,0,1
ABDUL-KARIM,2,0,1
ABDUL-LATEEF,1,0,1
ABDUL-MALIK,6,0,1
ABDUL-MATEEN,1,0,1
ABDUL-NASIR,1,0,1
ABDUL-QAYYUM,1,0,1
ABDUL-RAHEEM,12,0,1
ABDUL-RAHIM,3,0,1
ABDUL-RAHMAN,15,0,1
ABDUL-REHMAN,2,0,1
ABDUL-SAMAD,1,0,1
ABDUL-SAMI,2,0,1
ABDUL-WAHAAB,1,0,1
ABDUL-WAHHAB,2,0,1
ABDULA,3,0,1
ABDULAAHI,2,0,1
ABDULAH,7,0,1
ABDULAHAD,3,0,1
ABDULAHI,15,0,1
ABDULAI,4,0,1
ABDULALEEM,1,0,1
ABDULAZEEZ,4,0,1
ABDULAZIZ,16,0,1
ABDULBASIT,5,0,1
ABDULFATAH,1,0,1
ABDULHADI,4,0,1
ABDULHAKEEM,4,0,1
ABDULHAKIM,5,0,1
ABDULHALIM,1,0,1
ABDULHAMEED,1,0,1
ABDULHAMID,2,0,1
ABDULILAH,1,0,1
ABDULKADIR,14,0,1
ABDULKAREEM,5,0,1
ABDULKARIM,12,0,1
ABDULLA,16,0,1
ABDULLAAH,10,0,1
ABDULLAAHI,3,0,1
ABDULLAH,16,0,1
ABDULLAHI,16,0,1
ABDULLATEEF,1,0,1
ABDULLATIF,2,0,1
ABDULLOH,1,0,1
ABDULMAJEED,3,0,1
ABDULMAJID,4,0,1
ABDULMALEK,1,0,1
ABDULMALIK,12,0,1
ABDULQADIR,10,0,1
ABDULRAHEEM,9,0,1
ABDULRAHIM,10,0,1
ABDULRAHMAN,16,0,1
ABDULREHMAN,4,0,1
ABDULRHMAN,1,0,1
ABDULSALAM,4,0,1
ABDULSAMAD,4,0,1
ABDULWAHAB,8,0,1
ABDULWAHHAB,2,0,1
ABDULWAHID,1,0,1
ABDUR,16,0,1
ABDUR-RAFAY,1,0,1
ABDUR-RAHEEM,12,0,1
ABDUR-RAHIM,3,0,1
ABDUR-RAHMAAN,11,0,1
ABDUR-RAHMAN,16,0,1
ABDUR-REHMAN,5,0,1
ABDURAHEEM,1,0,1
ABDURAHIM,1,0,1
ABDURAHMAN,16,0,1
ABDURRAHEEM,5,0,1
ABDURRAHIM,3,0,1
ABDURRAHMAAN,11,0,1
ABDURRAHMAN,15,0,1
ABDURREHMAN,2,0,1
ABDUS,14,0,1
ABDUS-SAMAD,5,0,1
