Name,F,M,Year
Aaron,0,221,1997
Abbi,3,0,1997
Abbie,25,0,1997
Abby,10,0,1997
Abigail,36,0,1997
Adam,0,236,1997
Adele,3,0,1997
Adrian,0,11,1997
Aedan,0,3,1997
Aidan,0,48,1997
Aideen,6,0,1997
Aiden,0,3,1997
Aileen,7,0,1997
Ailis,3,0,1997
Aimee,98,0,1997
Aine,57,0,1997
Aisling,38,0,1997
Aislinn,10,0,1997
Alan,0,14,1997
Alana,26,0,1997
Alanis,3,0,1997
Alanna,19,0,1997
Alannah,9,0,1997
Alastair,0,5,1997
Albert,0,5,1997
Alex,13,15,1997
Alexander,0,49,1997
Alexandra,52,0,1997
Alexandria,3,0,1997
Alice,40,0,1997
Alicia,12,0,1997
Alisha,14,0,1997
Alison,17,0,1997
Alistair,0,8,1997
Alister,0,3,1997
Alix,4,0,1997
Amanda,11,0,1997
Amber,16,0,1997
Amelia,3,0,1997
Amie,5,0,1997
Amy,227,0,1997
Amy-Lee,5,0,1997
Amy-Leigh,5,0,1997
Anastasia,4,0,1997
Andrea,7,0,1997
Andrew,0,275,1997
Angela,4,0,1997
Angus,0,4,1997
Anna,112,0,1997
Annalise,3,0,1997
Anne-Marie,3,0,1997
Annie,20,0,1997
Anthony,0,42,1997
Antoin,0,3,1997
Antoinette,3,0,1997
Anton,0,5,1997
Aodhan,0,11,1997
Aoibheann,7,0,1997
Aoibhin,7,0,1997
Aoibhinn,5,0,1997
Aoife,117,0,1997
April,6,0,1997
Arfhlaith,3,0,1997
Arianne,4,0,1997
Arla,5,0,1997
Arlaith,7,0,1997
Arran,0,3,1997
Arron,0,4,1997
Ashleigh,27,0,1997
Ashlene,3,0,1997
Ashley,17,13,1997
Ashling,6,0,1997
Ashton,5,0,1997
Ayesha,3,0,1997
Bailey,0,6,1997
Bailie,0,3,1997
Barry,0,30,1997
Ben,0,85,1997
Benjamin,0,92,1997
Benn,0,3,1997
Bernadette,4,0,1997
Bernard,0,3,1997
Beth,26,0,1997
Bethan,7,0,1997
Bethany,45,0,1997
Billie-Jo,4,0,1997
Blaine,0,5,1997
Blake,0,5,1997
Blanaid,3,0,1997
Brad,0,11,1997
Bradley,0,22,1997
Brandon,0,48,1997
Breandan,0,3,1997
Brendan,0,41,1997
Brett,0,4,1997
Brian,0,40,1997
Brigid,3,0,1997
Brittany,8,0,1997
Brogan,4,0,1997
Bronach,5,0,1997
Bronagh,39,0,1997
Brooke,9,0,1997
Brooklyn,5,0,1997
Bryan,0,8,1997
Bryony,3,0,1997
Cahal,0,4,1997
Cahir,0,6,1997
Cailin,4,0,1997
Cailum,0,3,1997
Caitlin,102,0,1997
Caitlyn,5,0,1997
Caitriona,16,0,1997
Cal,0,4,1997
Caleb,0,7,1997
Callan,0,5,1997
Callum,0,99,1997
Calum,0,23,1997
Calvin,0,16,1997
Cameron,0,45,1997
Caoilfhionn,3,0,1997
Caoimhe,77,0,1997
Caoimhin,0,8,1997
Caolain,0,3,1997
Caolan,0,117,1997
Caomhan,0,7,1997
Cara,28,0,1997
Caragh,5,0,1997
Carl,0,10,1997
Carla,31,0,1997
Carly,9,0,1997
Carmel,3,0,1997
Carol,4,0,1997
Caroline,16,0,1997
Carolyn,4,0,1997
Carrie,7,0,1997
Carter,0,7,1997
Casey,8,0,1997
Cassandra,3,0,1997
Cassie,8,0,1997
Cathal,0,39,1997
Catherine,101,0,1997
Cathy,4,0,1997
Catriona,13,0,1997
Ceara,4,0,1997
Celine,5,0,1997
Chantel,3,0,1997
Chantelle,24,0,1997
Charis,3,0,1997
Charlene,8,0,1997
Charles,0,17,1997
Charlie,4,10,1997
Charlotte,36,0,1997
Che,0,5,1997
Chelsea,45,0,1997
Chelsey,7,0,1997
Cherie,3,0,1997
Cherith,4,0,1997
Chloe,361,0,1997
Chris,0,3,1997
Christian,0,8,1997
Christie,0,3,1997
Christina,18,0,1997
Christine,5,0,1997
Christopher,0,204,1997
