Name,YearsAppearing,CountsFemale,CountsMale,ProbGender,Upper,Lower
A,6,0,32,Male,1,0.89282080174493
A-jay,10,0,52,Male,1,0.931207763876138
A.j.,2,0,6,Male,1,0.609665712097835
A'isha,10,52,0,Female,1,0.931207763876138
A'ishah,13,67,0,Female,1,0.945773860608698
Aa'isha,1,3,0,Female,1,0.438502968244955
Aa'ishah,5,18,0,Female,1,0.824120776353342
Aaban,5,0,37,Male,1,0.905942174162798
Aabid,5,0,19,Male,1,0.831820775947384
Aadam,16,0,996,Male,1,0.996157932053322
Aadarsh,2,0,8,Male,1,0.67559243511612
Aaden,3,0,17,Male,1,0.815681864991148
Aadham,1,0,3,Male,1,0.438502968244955
Aadhya,1,5,0,Female,1,0.565517535216825
Aadi,7,0,94,Male,1,0.960737923708455
Aadil,16,0,470,Male,1,0.991892944888666
Aadila,1,3,0,Female,1,0.438502968244955
Aadit,5,0,28,Male,1,0.879356695234154
Aaditya,9,0,57,Male,1,0.936861165147021
Aadvik,1,0,1,Male,1,0.0512932943875506
Aadya,5,29,4,Female,0.951838386905864,0.726744948289248
Aadyn,1,0,1,Male,1,0.0512932943875506
Aaeedah,1,1,0,Female,1,0.0512932943875506
Aaeesha,2,7,0,Female,1,0.645669564933313
Aafia,5,30,0,Female,1,0.886486606826031
Aafiya,2,7,0,Female,1,0.645669564933313
Aafiyah,4,18,0,Female,1,0.824120776353342
Aafreen,8,39,0,Female,1,0.910333146292429
Aafrin,3,9,0,Female,1,0.700854951580456
Aagat,1,0,1,Male,1,0.0512932943875506
Aagman,1,0,1,Male,1,0.0512932943875506
Aahad,3,0,11,Male,1,0.741167033031968
Aahan,3,0,11,Male,1,0.741167033031968
Aahana,5,32,0,Female,1,0.892820801744929
Aahil,8,0,154,Male,1,0.975662548677671
Aahna,2,10,0,Female,1,0.722467200137111
Aaila,4,28,0,Female,1,0.879356695234154
Aailyah,1,3,0,Female,1,0.438502968244955
Aaima,5,31,0,Female,1,0.889744604539564
Aaina,1,6,0,Female,1,0.609665712097835
Aaira,3,22,0,Female,1,0.851345125391379
Aairah,3,12,0,Female,1,0.757505993344759
Aaisha,16,508,0,Female,1,0.992494826758377
Aaishah,16,179,0,Female,1,0.978990220021919
Aaiza,6,26,0,Female,1,0.871271078140785
Aaizah,1,4,0,Female,1,0.510109163545403
Aakarsh,1,0,3,Male,1,0.438502968244955
Aakash,14,0,95,Male,1,0.961135146460527
Aakifa,3,10,0,Female,1,0.722467200137111
Aakifah,15,124,0,Female,1,0.969951384659322
Aakriti,1,1,0,Female,1,0.0512932943875506
Aala,6,25,0,Female,1,0.866807749060952
Aalaa,3,12,0,Female,1,0.757505993344759
Aalaya,1,3,0,Female,1,0.438502968244955
Aalayah,5,22,0,Female,1,0.851345125391379
Aaleah,1,4,0,Female,1,0.510109163545403
Aaleigha,2,7,0,Female,1,0.645669564933313
Aaleyah,8,63,0,Female,1,0.942528800411148
Aalia,15,187,0,Female,1,0.979870941857014
Aaliah,15,157,0,Female,1,0.976116488566691
Aaliegha,1,1,0,Female,1,0.0512932943875506
Aalim,2,0,4,Male,1,0.510109163545403
Aalimah,3,11,0,Female,1,0.741167033031968
