Name,YearsAppearing,PropFemale,CountsFemale,PropMale,CountsMale
Aaban,4,0,0,1,31
Aabha,1,1,7,0,0
Aabid,1,0,0,1,5
Aabriella,1,1,5,0,0
Aadam,20,0,0,1,150
Aadan,6,0,0,1,80
Aadarsh,11,0,0,1,116
Aaden,11,0.0909090909090909,5,1,3251
Aadesh,3,0,0,1,15
Aadhav,5,0,0,1,35
Aadhavan,1,0,0,1,5
Aadhya,5,1,108,0,0
Aadhyan,1,0,0,1,5
Aadi,9,0.111111111111111,5,1,486
Aadil,20,0,0,1,254
Aadin,7,0,0,1,96
Aadish,1,0,0,1,6
Aadison,1,1,6,0,0
Aadit,9,0,0,1,181
Aadith,3,0,0,1,17
Aaditri,1,1,5,0,0
Aaditya,15,0,0,1,357
Aadon,7,0,0,1,74
Aadya,9,1,196,0,0
Aadyn,9,0.222222222222222,16,1,279
Aafreen,1,1,5,0,0
Aage,1,0,0,1,7
Aagot,1,1,5,0,0
Aahan,7,0,0,1,95
Aahana,7,1,224,0,0
Aahil,12,0,0,1,190
Aahliyah,4,1,24,0,0
Aahna,5,1,40,0,0
Aahron,1,0,0,1,5
Aaidan,5,0,0,1,37
Aaiden,8,0,0,1,337
Aaidyn,1,0,0,1,7
Aaila,1,1,6,0,0
Aailiyah,2,1,10,0,0
Aailyah,16,1,147,0,0
Aaira,3,1,25,0,0
Aairah,2,1,14,0,0
Aaisha,20,1,150,0,0
Aaishah,3,1,18,0,0
Aaiyana,1,1,5,0,0
Aaiza,1,1,5,0,0
Aaja,1,1,5,0,0
Aajah,5,1,29,0,0
Aajaylah,3,1,20,0,0
Aajon,1,0,0,1,8
Aakanksha,1,1,5,0,0
Aakarsh,6,0,0,1,34
Aakash,31,0,0,1,781
Aakeem,3,0,0,1,16
Aakilah,2,1,18,0,0
Aakira,1,1,5,0,0
Aakiyah,1,1,5,0,0
Aakriti,2,1,14,0,0
Aala,7,1,48,0,0
Aalaiya,1,1,7,0,0
Aalaiyah,3,1,16,0,0
Aalana,5,1,31,0,0
Aalanah,2,1,10,0,0
Aalani,2,1,11,0,0
Aalap,1,0,0,1,6
Aalaya,10,1,77,0,0
Aalayah,16,1,417,0,0
Aalayjah,1,1,6,0,0
Aalayna,3,1,15,0,0
Aalaysha,3,1,17,0,0
Aalaysia,10,1,80,0,0
Aaleah,13,1,144,0,0
Aaleahya,1,1,8,0,0
Aaleeya,1,1,5,0,0
Aaleeyah,8,1,60,0,0
Aaleigha,11,1,96,0,0
Aaleiyah,3,1,18,0,0
Aalexis,3,1,20,0,0
Aalexus,1,1,6,0,0
Aaleya,1,1,5,0,0
Aaleyah,18,1,450,0,0
Aalia,17,1,231,0,0
Aaliah,18,1,659,0,0
Aalias,1,0,0,1,5
