Name,F,M,Year
AADAM,0,28,1996
AADIL,0,28,1996
AAISHA,10,0,1996
AAISHAH,6,0,1996
AAKASH,0,9,1996
AALIA,9,0,1996
AALIYA,11,0,1996
AALIYAH,111,0,1996
AAMAN,0,3,1996
AAMENA,6,0,1996
AAMENAH,5,0,1996
AAMINA,14,0,1996
AAMINAH,17,0,1996
AAMIR,0,57,1996
AAMIRAH,11,0,1996
AAMNA,10,0,1996
AANISAH,12,0,1996
AAQIB,0,6,1996
AARAN,0,21,1996
AARIF,0,3,1996
AARON,0,2511,1996
AARONDEEP,0,12,1996
AARRON,0,20,1996
AARTI,8,0,1996
AARUN,0,5,1996
AASIM,0,5,1996
AASIYA,3,0,1996
AASIYAH,3,0,1996
AATIF,0,6,1996
AATIKAH,4,0,1996
AATISH,0,4,1996
AAYESHA,3,0,1996
AAYUSH,0,3,1996
ABAGAIL,3,0,1996
ABANOUB,0,3,1996
ABAS,0,6,1996
ABASS,0,3,1996
ABAYOMI,0,3,1996
ABBAS,0,37,1996
ABBE,5,0,1996
ABBEE,3,0,1996
ABBEY,249,0,1996
ABBEYGAIL,6,0,1996
ABBEYGALE,4,0,1996
ABBEYGAYLE,4,0,1996
ABBI,72,0,1996
ABBIE,1297,0,1996
ABBIE-GAYLE,3,0,1996
ABBIE-LEIGH,5,0,1996
ABBIE-LOUISE,4,0,1996
ABBIEGAIL,4,0,1996
ABBIGAIL,47,0,1996
ABBIGALE,3,0,1996
ABBIGAYLE,5,0,1996
ABBY,276,0,1996
ABBYGAIL,8,0,1996
ABBYGAYLE,3,0,1996
ABD,0,5,1996
ABDAL,0,7,1996
ABDALLAH,0,7,1996
ABDEL,0,4,1996
ABDI,0,10,1996
ABDIFATAH,0,3,1996
ABDIMALIK,0,3,1996
ABDINASIR,0,4,1996
ABDIRAHMAN,0,13,1996
ABDIWALI,0,3,1996
ABDOULIE,0,3,1996
ABDU,0,5,1996
ABDUL,0,201,1996
ABDUL-AZEEZ,0,4,1996
ABDUL-AZIZ,0,3,1996
ABDUL-KAREEM,0,3,1996
ABDULAH,0,3,1996
ABDULAZEEZ,0,3,1996
ABDULAZIZ,0,7,1996
ABDULHAMID,0,4,1996
ABDULKADIR,0,7,1996
ABDULLA,0,7,1996
ABDULLAH,0,85,1996
ABDULLAHI,0,18,1996
ABDULRAHMAN,0,12,1996
ABDULWAHAB,0,3,1996
ABDUR,0,9,1996
ABDUR-RAHMAAN,0,3,1996
ABDUR-RAHMAN,0,5,1996
ABDUR-REHMAN,0,3,1996
ABDURAHMAN,0,4,1996
ABEDA,3,0,1996
ABEL,0,9,1996
ABENA,3,0,1996
ABHINAV,0,5,1996
ABHISHEK,0,5,1996
ABI,47,0,1996
ABIBAT,3,0,1996
ABID,0,13,1996
ABIDA,19,0,1996
ABIDAH,3,0,1996
ABIDUL,0,4,1996
ABIE,3,0,1996
ABIGAEL,6,0,1996
ABIGAIL,2595,0,1996
ABIGALE,18,0,1996
ABIGAYLE,25,0,1996
ABIODUN,0,3,1996
ABIOLA,5,0,1996
ABIR,0,5,1996
ABIRAMI,3,0,1996
ABISOLA,4,0,1996
ABISOYE,3,0,1996
ABRAAR,0,3,1996
ABRAHAM,0,40,1996
ABRAHIM,0,5,1996
ABRAM,0,3,1996
ABRAR,0,10,1996
ABU,0,27,1996
ABU-BAKR,0,3,1996
ABUBAKAR,0,11,1996
ABUBAKR,0,3,1996
ABUKAR,0,3,1996
ABUL,0,23,1996
ABYGAIL,6,0,1996
ACACIA,9,0,1996
ACE,0,5,1996
ACER,0,5,1996
ADA,5,0,1996
ADAEZE,5,0,1996
ADAL,0,6,1996
ADAM,0,4538,1996
ADAMA,5,0,1996
ADAN,0,9,1996
ADARSH,0,4,1996
ADDAM,0,5,1996
ADDISON,0,13,1996
ADEDAMOLA,0,3,1996
ADEDAPO,0,4,1996
ADEEB,0,7,1996
ADEEBA,14,0,1996
ADEEL,0,38,1996
ADEELA,7,0,1996
ADEKUNLE,0,4,1996
ADEL,4,8,1996
ADELA,3,0,1996
ADELAIDE,17,0,1996
ADELE,144,0,1996
ADELLA,3,0,1996
ADELLE,24,0,1996
ADEM,0,19,1996
ADEMOLA,0,3,1996
ADEN,0,23,1996
ADENIKE,3,0,1996
ADEOLA,12,3,1996
ADEOLUWA,0,3,1996
ADERINSOLA,3,0,1996
ADESOLA,4,0,1996
ADETOLA,3,0,1996
ADEWUNMI,3,0,1996
ADHAM,0,10,1996
ADI,3,0,1996
ADIBA,8,0,1996
ADIL,0,88,1996
ADILA,3,0,1996
ADILAH,4,0,1996
ADINA,20,0,1996
ADITI,3,0,1996
ADJOA,4,0,1996
ADLEY,0,3,1996
ADNAAN,0,13,1996
ADNAN,0,57,1996
ADRIAN,0,155,1996
ADRIANA,10,0,1996
ADRIANE,4,0,1996
ADRIANNA,8,0,1996
ADRIANNE,18,0,1996
ADRIANO,0,7,1996
ADRIEN,0,5,1996
ADRIENNE,40,0,1996
ADRIS,0,5,1996
AEDAN,0,10,1996
AEISHA,3,0,1996
AERON,0,10,1996
AESHA,3,0,1996
AFIFA,9,0,1996
AFIFAH,4,0,1996
AFIYA,3,0,1996
AFJOL,0,3,1996
AFOLABI,0,4,1996
AFRA,9,0,1996
AFRAH,5,0,1996
AFREEN,4,0,1996
AFSANA,22,0,1996
AFSAR,0,3,1996
AFSHA,4,0,1996
AFSHAN,3,0,1996
AFSHANA,4,0,1996
AFSHEEN,4,0,1996
AFUA,5,0,1996
AFZAL,0,6,1996
AGATHA,10,0,1996
AGATHE,3,0,1996
AGNES,8,0,1996
AHAD,0,6,1996
AHAMED,0,4,1996
AHARON,0,5,1996
AHLAM,6,0,1996
AHMAD,0,57,1996
AHMED,0,206,1996
AHMER,0,3,1996
AHMET,0,18,1996
AHSAN,0,17,1996
AHTSHAM,0,3,1996
AI,3,0,1996
AICHA,3,0,1996
AIDA,7,0,1996
AIDAN,0,680,1996
AIDEEN,4,0,1996
AIDEN,0,354,1996
AIESHA,10,0,1996
AIKO,3,0,1996
AILBHE,3,0,1996
AILEEN,12,0,1996
AILIDH,3,0,1996
AILIE,3,0,1996
AILIS,11,0,1996
AILISE,3,0,1996
AILISH,38,0,1996
AILSA,34,0,1996
AIMA,3,0,1996
AIMAN,3,4,1996
AIME,7,0,1996
AIMEE,876,0,1996
AIMEE-LEIGH,4,0,1996
AIMEE-LOUISE,4,0,1996
AIMEN,0,4,1996
AIMI,3,0,1996
AIMIE,20,0,1996
AINA,3,0,1996
AINE,36,0,1996
AINSLEIGH,4,3,1996
AINSLEY,13,43,1996
AISHA,328,0,1996
AISHAH,54,0,1996
AISHAT,4,0,1996
AISHIA,6,0,1996
AISHLING,5,0,1996
AISLING,70,0,1996
AISLINN,14,0,1996
AIYA,3,0,1996
AIYSHA,24,0,1996
AIZA,3,0,1996
AJA,4,0,1996
AJAI,0,3,1996
AJANI,0,3,1996
AJAY,0,50,1996
AJIT,0,3,1996
AJMAL,0,13,1996
AKAASH,0,19,1996
AKASH,0,57,1996
AKASHA,3,0,1996
AKBAR,0,16,1996
AKEEB,0,4,1996
AKEEL,0,14,1996
AKEEM,0,27,1996
AKHIL,0,9,1996
AKHTAR,0,4,1996
AKIB,0,5,1996
AKIEL,0,3,1996
AKIF,0,6,1996
AKIL,0,4,1996
AKILA,3,0,1996
AKILAH,5,0,1996
AKIM,0,4,1996
AKIN,0,3,1996
AKINTUNDE,0,3,1996
AKINYEMI,0,3,1996
AKIRA,7,6,1996
AKLIMA,5,0,1996
AKOSUA,3,0,1996
AKRAM,0,7,1996
AKSA,11,0,1996
AKSHAY,0,51,1996
AL,0,10,1996
ALA'A,3,0,1996
ALAA,5,4,1996
ALAIN,0,4,1996
ALAINA,7,0,1996
ALAMIN,0,9,1996
ALAN,0,209,1996
ALANA,170,0,1996
ALANAH,24,0,1996
ALANIS,31,0,1996
ALANNA,43,0,1996
ALANNAH,85,0,1996
ALANNIS,3,0,1996
ALANTA,17,0,1996
ALANYA,13,0,1996
ALARNA,11,0,1996
ALASDAIR,0,71,1996
ALASKA,3,0,1996
ALASTAIR,0,166,1996
ALAW,4,0,1996
ALAYA,3,0,1996
ALAYNA,3,0,1996
ALBA,5,0,1996
ALBANY,6,0,1996
ALBERT,0,110,1996
ALBERTA,5,0,1996
ALBERTO,0,4,1996
ALBIE,0,17,1996
ALBION,0,3,1996
ALBY,0,5,1996
ALDEN,0,4,1996
ALEAH,14,0,1996
ALEASHA,9,0,1996
ALEC,0,109,1996
ALECIA,7,0,1996
ALED,0,69,1996
ALEEM,0,9,1996
ALEEMA,14,0,1996
ALEENA,30,0,1996
ALEESHA,23,0,1996
ALEIGHA,3,0,1996
ALEISHA,29,0,1996
ALEJANDRO,0,9,1996
ALEKSANDAR,0,3,1996
ALEKSANDER,0,9,1996
ALEKSANDRA,3,0,1996
ALEKSI,0,4,1996
ALENA,12,0,1996
ALERO,3,0,1996
ALESHA,22,0,1996
ALESI,3,0,1996
ALESSANDRA,23,0,1996
ALESSANDRO,0,37,1996
ALESSI,3,0,1996
ALESSIA,12,0,1996
ALESSIO,0,12,1996
ALETHEA,5,0,1996
ALEX,274,1762,1996
ALEXA,32,0,1996
ALEXANDA,0,5,1996
ALEXANDER,0,4840,1996
ALEXANDRA,1595,0,1996
ALEXANDRE,0,26,1996
ALEXANDREA,10,0,1996
ALEXANDRIA,78,0,1996
ALEXANDROS,0,18,1996
ALEXANDRU,0,3,1996
ALEXEI,0,5,1996
ALEXI,0,7,1996
ALEXIA,42,0,1996
ALEXIS,56,19,1996
ALEXZANDER,0,4,1996
ALEYNA,3,0,1996
ALEYSHA,6,0,1996
ALF,0,4,1996
ALFIE,0,372,1996
ALFRED,0,142,1996
ALFREDO,0,3,1996
ALI,0,218,1996
ALI-RAZA,0,3,1996
ALIA,32,0,1996
ALIABBAS,0,3,1996
ALIAH,5,0,1996
ALICAN,0,4,1996
ALICE,2357,0,1996
ALICE-LOUISE,3,0,1996
ALICEA,5,0,1996
ALICIA,504,0,1996
ALICJA,6,0,1996
ALICK,0,3,1996
ALIDA,4,0,1996
ALIESHA,12,0,1996
ALIM,0,10,1996
ALIMA,16,0,1996
ALINA,42,0,1996
ALIREZA,0,3,1996
ALIS,4,0,1996
ALISA,18,0,1996
ALISDAIR,0,9,1996
ALISE,4,0,1996
ALISHA,363,0,1996
ALISHAH,3,0,1996
ALISHBA,4,0,1996
ALISHIA,17,0,1996
ALISHYA,3,0,1996
ALISIA,8,0,1996
ALISON,181,0,1996
ALISSA,18,0,1996
ALISSIA,4,0,1996
ALISTAIR,0,294,1996
ALISTER,0,30,1996
ALIVIA,5,0,1996
ALIX,106,22,1996
ALIXANDRA,7,0,1996
ALIYA,56,0,1996
ALIYAH,61,0,1996
ALIYSHA,4,0,1996
ALIYYAH,4,0,1996
ALIZA,3,0,1996
ALKA,3,0,1996
ALLAN,0,37,1996
ALLANA,11,0,1996
ALLANAH,17,0,1996
ALLANNAH,3,0,1996
ALLEGRA,9,0,1996
ALLEN,0,10,1996
ALLEX,4,0,1996
ALLEYAH,4,0,1996
ALLIE,6,0,1996
ALLISON,6,0,1996
ALLISTER,0,9,1996
ALLIYAH,4,0,1996
ALLY,0,3,1996
ALLYSHA,15,0,1996
ALLYSON,6,0,1996
ALMA,7,0,1996
ALMAS,8,0,1996
ALTHEA,4,0,1996
ALUN,0,12,1996
ALVARO,0,4,1996
ALVIN,0,11,1996
ALWYN,0,8,1996
ALYA,4,0,1996
ALYCE,22,0,1996
ALYCIA,16,0,1996
ALYN,0,3,1996
ALYS,49,0,1996
ALYSHA,74,0,1996
ALYSHIA,10,0,1996
ALYSIA,14,0,1996
ALYSON,9,0,1996
ALYSSA,29,0,1996
ALYSSIA,12,0,1996
ALYX,19,0,1996
ALYXANDRA,3,0,1996
AMAAD,0,6,1996
AMAAN,0,25,1996
AMAANI,3,0,1996
AMAARA,4,0,1996
AMAARAH,4,0,1996
AMABEL,3,0,1996
AMAD,0,3,1996
AMAL,23,6,1996
AMALIA,10,0,1996
AMALIE,7,0,1996
AMAN,3,38,1996
AMANA,7,0,1996
AMANDA,264,0,1996
AMANDEEP,42,32,1996
AMANI,25,5,1996
AMANPREET,16,0,1996
AMANVEER,0,4,1996
AMAR,0,65,1996
AMARA,36,0,1996
AMARACHI,3,0,1996
AMARAH,11,0,1996
AMARDEEP,5,15,1996
AMARI,0,6,1996
AMARJEET,0,3,1996
AMARJIT,0,5,1996
AMARPAL,0,6,1996
AMARPREET,6,3,1996
AMARVEER,0,3,1996
AMARVIR,0,3,1996
AMBA,6,0,1996
AMBAR,8,0,1996
AMBER,1422,0,1996
AMBER-JADE,3,0,1996
AMBER-JANE,4,0,1996
AMBER-JAYNE,3,0,1996
AMBER-LEIGH,9,0,1996
AMBER-LOUISE,12,0,1996
AMBER-ROSE,10,0,1996
AMBERLEIGH,6,0,1996
AMBERLEY,14,0,1996
AMBIKA,4,0,1996
AMBREEN,13,0,1996
AMBROSE,0,8,1996
AMEE,13,0,1996
AMEEN,0,5,1996
AMEENA,18,0,1996
AMEENAH,7,0,1996
AMEER,0,20,1996
AMEERA,15,0,1996
AMEERAH,4,0,1996
AMEL,4,0,1996
AMELIA,929,0,1996
AMELIA-JANE,3,0,1996
AMELIA-ROSE,5,0,1996
AMELIE,7,0,1996
AMENA,14,0,1996
AMENAH,3,0,1996
AMER,0,10,1996
AMERA,3,0,1996
AMETHYST,4,0,1996
AMEY,8,0,1996
AMI,68,0,1996
AMI-LOUISE,4,0,1996
AMIE,297,0,1996
AMIE-LOUISE,4,0,1996
AMIEE,30,0,1996
AMII,5,0,1996
AMIL,0,3,1996
AMILIA,3,0,1996
AMIMA,3,0,1996
AMIN,0,19,1996
AMINA,151,0,1996
AMINAH,32,0,1996
AMINAT,9,0,1996
AMINATA,8,0,1996
AMINE,0,4,1996
AMINUL,0,3,1996
AMINUR,0,13,1996
AMIR,0,103,1996
AMIRA,33,0,1996
AMIRAH,21,0,1996
AMIRUL,0,3,1996
AMISH,0,3,1996
AMISHA,6,0,1996
AMIT,0,21,1996
AMJAD,0,6,1996
AMMAAR,0,6,1996
AMMAARAH,26,0,1996
AMMAN,3,0,1996
AMMAR,0,20,1996
AMMARA,13,0,1996
AMMARAH,16,0,1996
AMMIE,6,0,1996
AMNA,27,0,1996
AMNAH,7,0,1996
AMOS,0,10,1996
AMR,0,6,1996
AMRAN,3,4,1996
AMREEN,14,0,1996
AMREENA,3,0,1996
AMRIK,0,8,1996
AMRIN,4,0,1996
AMRIT,31,13,1996
AMRITA,32,0,1996
AMRITPAL,0,7,1996
AMUN,3,0,1996
AMY,5206,0,1996
AMY-JADE,3,0,1996
AMY-JANE,8,0,1996
AMY-JAYNE,5,0,1996
AMY-JO,9,0,1996
AMY-LEA,3,0,1996
AMY-LEE,5,0,1996
AMY-LEIGH,20,0,1996
AMY-LOUISE,20,0,1996
AMY-ROSE,5,0,1996
AMYLEIGH,5,0,1996
AMYLOUISE,3,0,1996
ANA,36,0,1996
ANABEL,7,0,1996
ANABELLE,4,0,1996
ANAH,4,0,1996
ANAIS,15,0,1996
ANALISE,3,0,1996
ANAM,25,0,1996
ANAMIKA,5,0,1996
ANAND,0,18,1996
ANAS,0,15,1996
ANASTASIA,113,0,1996
ANASTASIOS,0,4,1996
ANAY,0,3,1996
ANAYA,4,0,1996
ANBAR,3,0,1996
ANDERS,0,7,1996
ANDERSON,0,4,1996
ANDI,8,3,1996
ANDIE,11,0,1996
ANDRE,0,167,1996
ANDREA,74,9,1996
ANDREAS,0,64,1996
ANDREI,0,9,1996
ANDREIA,3,0,1996
ANDREJ,0,3,1996
ANDRES,0,7,1996
ANDREW,0,2676,1996
ANDRIANA,4,0,1996
ANDRIANNA,3,0,1996
ANDRZEJ,0,3,1996
ANDY,0,32,1996
ANEEKA,16,0,1996
ANEEL,0,4,1996
ANEELA,14,0,1996
ANEEQ,0,3,1996
ANEEQA,13,0,1996
ANEEQAH,3,0,1996
ANEES,0,12,1996
ANEESA,82,0,1996
ANEESAH,30,0,1996
ANEESH,0,3,1996
ANEESHA,8,0,1996
ANEIL,0,8,1996
ANEIRIN,0,3,1996
ANEKA,4,0,1996
ANESA,3,0,1996
ANEURIN,0,16,1996
ANGEL,99,0,1996
ANGELA,87,0,1996
ANGELENA,3,0,1996
ANGELICA,35,0,1996
ANGELIKA,3,0,1996
ANGELINA,32,0,1996
ANGELINE,5,0,1996
ANGELIQUE,4,0,1996
ANGELO,0,12,1996
ANGELOS,0,4,1996
ANGHARAD,141,0,1996
ANGIE,5,0,1996
ANGUS,0,247,1996
ANHAR,0,3,1996
ANIA,5,0,1996
ANIKA,52,0,1996
ANIL,0,18,1996
ANILA,6,0,1996
ANIQA,29,0,1996
ANIQAH,9,0,1996
ANIS,0,6,1996
ANISA,125,0,1996
ANISAH,59,0,1996
ANISH,0,28,1996
ANISHA,111,0,1996
ANISSA,5,0,1996
ANITA,71,0,1996
ANJA,12,0,1996
ANJALI,27,0,1996
ANJANA,5,0,1996
ANJELICA,4,0,1996
ANJLEE,3,0,1996
ANJLI,4,0,1996
ANJULI,3,0,1996
ANJUM,6,0,1996
ANJUMA,4,0,1996
ANJUMAN,3,0,1996
ANKIT,0,9,1996
ANKITA,6,0,1996
ANKUR,0,4,1996
ANMOL,16,0,1996
ANN,46,0,1996
ANN-MARIE,28,0,1996
ANNA,1274,0,1996
ANNA-LEE,4,0,1996
ANNA-LEIGH,4,0,1996
ANNA-LOUISE,17,0,1996
ANNA-MARIA,6,0,1996
ANNA-MARIE,27,0,1996
ANNA-MAY,3,0,1996
ANNA-ROSE,5,0,1996
ANNABEL,380,0,1996
ANNABELL,6,0,1996
ANNABELLA,25,0,1996
ANNABELLE,225,0,1996
ANNALEE,8,0,1996
ANNALEIGH,3,0,1996
ANNALIESE,8,0,1996
ANNALISA,7,0,1996
ANNALISE,53,0,1996
ANNAM,7,0,1996
ANNAMARIE,3,0,1996
ANNASTASIA,4,0,1996
ANNE,72,0,1996
ANNE-MARIE,35,0,1996
ANNEKA,15,0,1996
ANNELIES,3,0,1996
ANNELIESE,7,0,1996
ANNEMARIE,7,0,1996
ANNETTE,22,0,1996
ANNICE,6,0,1996
ANNIE,389,0,1996
ANNIE-MAE,4,0,1996
ANNIE-MAY,6,0,1996
ANNIE-ROSE,8,0,1996
ANNIKA,14,0,1996
ANNISA,7,0,1996
ANNISSA,3,0,1996
ANNMARIE,12,0,1996
ANOUSHKA,17,0,1996
