Name,F,M,Year
A'isha,1,0,2009
Aadam,0,2,2009
Aaden,0,3,2009
Aadvik,0,1,2009
Aagman,0,1,2009
Aahil,0,2,2009
Aaila,1,0,2009
Aairah,2,0,2009
Aaishah,1,0,2009
Aaiza,1,0,2009
Aakash,0,1,2009
Aaleah,1,0,2009
Aaliegha,1,0,2009
Aalim,0,1,2009
Aaliyah,14,0,2009
Aamina,2,0,2009
Aamir,0,1,2009
Aamna,1,0,2009
Aanisah,1,0,2009
Aanya,1,0,2009
Aaran,0,6,2009
Aarav,0,4,2009
Aariz,0,1,2009
Aarnav,0,1,2009
Aarohi,1,0,2009
Aaron,0,376,2009
Aarron,0,4,2009
Aarushi,1,0,2009
Aaryan,0,2,2009
Aaryav,0,1,2009
Aaryn,0,2,2009
Aashish,0,1,2009
Aashna,1,0,2009
Aasiya,1,0,2009
Aathrey,0,1,2009
Aava,1,0,2009
Aayan,0,6,2009
Aaydn,0,1,2009
Aayush,0,1,2009
Aazan,0,1,2009
Abbas,0,1,2009
Abbe,1,0,2009
Abbey,23,0,2009
Abbey-louise,1,0,2009
Abbi,20,0,2009
Abbi-leigh,1,0,2009
Abbie,165,1,2009
Abbie-jo,1,0,2009
Abbie-lee,1,0,2009
Abbie-lei,1,0,2009
Abbie-leigh,2,0,2009
Abbie-rose,1,0,2009
Abbiegail,2,0,2009
Abbigael,1,0,2009
Abbigail,2,0,2009
Abbigale,1,0,2009
Abbiney,1,0,2009
Abby,51,0,2009
Abby-leigh,2,0,2009
Abbygail,1,0,2009
Abd,0,3,2009
Abdallah,0,1,2009
Abdel,0,1,2009
Abdelrahman,0,1,2009
Abdouallah,0,1,2009
Abdoulie,0,1,2009
Abdul,0,11,2009
Abdul-basit,0,1,2009
Abdul-majeed,0,1,2009
Abdul-rahman,0,1,2009
Abdulfatah,0,1,2009
Abdulfawaz,0,1,2009
Abdulhadi,0,1,2009
Abdulhamid,0,1,2009
Abdullah,0,13,2009
Abdullahi,0,1,2009
Abdullbasit,0,1,2009
Abdulmajeed,0,1,2009
Abdulmoamen,0,1,2009
Abdulrahman,0,2,2009
Abdur-rahman,0,1,2009
Abdus-salam,0,1,2009
Abdus-samad,0,1,2009
Abdushakur,0,1,2009
Abe,0,1,2009
Abed,0,1,2009
Abeer,1,0,2009
Abeerah,1,0,2009
