Name,F,M,Year
A,0,3,2001
A,0,5,2006
A,0,6,2007
A,0,5,2008
A,0,6,2010
A,0,7,2011
A-jay,0,3,2001
A-jay,0,4,2002
A-jay,0,8,2004
A-jay,0,3,2005
A-jay,0,5,2006
A-jay,0,5,2007
A-jay,0,5,2008
A-jay,0,4,2009
A-jay,0,8,2010
A-jay,0,7,2011
A'isha,4,0,1998
A'isha,8,0,2001
A'isha,3,0,2003
A'isha,4,0,2004
A'isha,3,0,2005
A'isha,10,0,2007
A'isha,4,0,2008
A'isha,6,0,2009
A'isha,6,0,2010
A'isha,4,0,2011
A'ishah,4,0,1998
A'ishah,4,0,1999
A'ishah,3,0,2000
A'ishah,8,0,2001
A'ishah,5,0,2002
A'ishah,6,0,2003
A'ishah,6,0,2004
A'ishah,5,0,2005
A'ishah,3,0,2006
A'ishah,7,0,2007
A'ishah,4,0,2008
A'ishah,9,0,2010
A'ishah,3,0,2011
Aa'isha,3,0,2004
Aa'ishah,3,0,1997
Aa'ishah,3,0,1999
Aa'ishah,5,0,2002
Aa'ishah,4,0,2007
Aa'ishah,3,0,2008
Aaban,0,3,2007
Aaban,0,7,2008
Aaban,0,5,2009
Aaban,0,11,2010
Aaban,0,11,2011
Aabid,0,3,1998
Aabid,0,5,2000
Aabid,0,3,2001
Aabid,0,3,2006
Aabid,0,5,2010
Aadam,0,28,1996
Aadam,0,30,1997
Aadam,0,49,1998
Aadam,0,53,1999
Aadam,0,42,2000
Aadam,0,48,2001
Aadam,0,77,2002
Aadam,0,69,2003
Aadam,0,67,2004
Aadam,0,84,2005
Aadam,0,66,2006
Aadam,0,72,2007
Aadam,0,77,2008
Aadam,0,89,2009
Aadam,0,65,2010
Aadam,0,80,2011
Aadarsh,0,4,2007
Aadarsh,0,4,2011
Aaden,0,7,2009
Aaden,0,7,2010
Aaden,0,3,2011
Aadham,0,3,2003
Aadhya,5,0,2011
Aadi,0,9,2005
Aadi,0,16,2006
Aadi,0,6,2007
Aadi,0,13,2008
Aadi,0,23,2009
Aadi,0,16,2010
Aadi,0,11,2011
Aadil,0,28,1996
Aadil,0,23,1997
Aadil,0,32,1998
Aadil,0,39,1999
Aadil,0,32,2000
Aadil,0,34,2001
Aadil,0,34,2002
Aadil,0,28,2003
Aadil,0,35,2004
Aadil,0,39,2005
Aadil,0,30,2006
Aadil,0,32,2007
Aadil,0,19,2008
Aadil,0,16,2009
Aadil,0,21,2010
Aadil,0,28,2011
Aadila,3,0,2010
Aadit,0,5,2007
Aadit,0,4,2008
Aadit,0,11,2009
Aadit,0,5,2010
Aadit,0,3,2011
Aaditya,0,3,1997
Aaditya,0,3,1999
Aaditya,0,5,2005
Aaditya,0,4,2006
Aaditya,0,10,2007
Aaditya,0,5,2008
Aaditya,0,8,2009
Aaditya,0,10,2010
Aaditya,0,9,2011
Aadvik,0,1,2009
Aadya,7,0,2007
Aadya,5,0,2008
Aadya,3,0,2009
Aadya,4,0,2010
Aadya,10,4,2011
Aadyn,0,1,2010
Aaeedah,1,0,2010
Aaeesha,1,0,2010
Aaeesha,6,0,2011
Aafia,3,0,2005
Aafia,3,0,2007
Aafia,5,0,2008
Aafia,9,0,2010
Aafia,10,0,2011
Aafiya,3,0,2007
Aafiya,4,0,2010
Aafiyah,3,0,2005
Aafiyah,4,0,2008
Aafiyah,6,0,2010
Aafiyah,5,0,2011
Aafreen,4,0,2001
Aafreen,5,0,2002
Aafreen,6,0,2003
Aafreen,6,0,2005
Aafreen,5,0,2008
Aafreen,3,0,2009
Aafreen,4,0,2010
Aafreen,6,0,2011
Aafrin,3,0,2002
Aafrin,3,0,2008
Aafrin,3,0,2009
Aagat,0,1,2010
Aagman,0,1,2009
Aahad,0,3,2003
Aahad,0,5,2004
Aahad,0,3,2008
Aahan,0,4,2008
Aahan,0,3,2009
Aahan,0,4,2011
Aahana,4,0,2007
Aahana,4,0,2008
Aahana,7,0,2009
Aahana,10,0,2010
Aahana,7,0,2011
Aahil,0,7,2004
Aahil,0,9,2005
Aahil,0,4,2006
Aahil,0,9,2007
Aahil,0,22,2008
Aahil,0,29,2009
Aahil,0,40,2010
Aahil,0,34,2011
Aahna,7,0,2010
Aahna,3,0,2011
Aaila,4,0,2008
Aaila,8,0,2009
Aaila,7,0,2010
Aaila,9,0,2011
Aailyah,3,0,2007
Aaima,3,0,2007
Aaima,3,0,2008
Aaima,10,0,2009
Aaima,9,0,2010
Aaima,6,0,2011
Aaina,6,0,2003
Aaira,3,0,2009
Aaira,9,0,2010
Aaira,10,0,2011
Aairah,3,0,2008
Aairah,5,0,2009
Aairah,4,0,2011
Aaisha,10,0,1996
Aaisha,14,0,1997
Aaisha,22,0,1998
Aaisha,27,0,1999
Aaisha,28,0,2000
Aaisha,34,0,2001
Aaisha,46,0,2002
Aaisha,38,0,2003
Aaisha,37,0,2004
Aaisha,34,0,2005
Aaisha,40,0,2006
Aaisha,49,0,2007
Aaisha,40,0,2008
Aaisha,28,0,2009
Aaisha,29,0,2010
Aaisha,32,0,2011
Aaishah,6,0,1996
Aaishah,13,0,1997
Aaishah,6,0,1998
Aaishah,8,0,1999
Aaishah,6,0,2000
Aaishah,9,0,2001
Aaishah,13,0,2002
Aaishah,15,0,2003
Aaishah,16,0,2004
Aaishah,12,0,2005
Aaishah,9,0,2006
Aaishah,14,0,2007
Aaishah,13,0,2008
Aaishah,8,0,2009
Aaishah,16,0,2010
Aaishah,15,0,2011
Aaiza,6,0,2001
Aaiza,3,0,2002
Aaiza,3,0,2004
Aaiza,3,0,2006
Aaiza,5,0,2009
Aaiza,6,0,2011
Aaizah,4,0,2011
Aakarsh,0,3,2009
Aakash,0,9,1996
Aakash,0,11,1997
Aakash,0,13,1998
Aakash,0,10,1999
Aakash,0,4,2000
Aakash,0,7,2001
Aakash,0,6,2003
Aakash,0,8,2004
Aakash,0,7,2005
Aakash,0,3,2006
Aakash,0,4,2007
Aakash,0,4,2009
Aakash,0,4,2010
Aakash,0,5,2011
Aakifa,4,0,2006
Aakifa,3,0,2008
Aakifa,3,0,2011
Aakifah,4,0,1997
Aakifah,7,0,1998
Aakifah,4,0,1999
Aakifah,8,0,2000
Aakifah,10,0,2001
Aakifah,13,0,2002
Aakifah,12,0,2003
Aakifah,11,0,2004
Aakifah,11,0,2005
Aakifah,8,0,2006
Aakifah,7,0,2007
Aakifah,9,0,2008
Aakifah,9,0,2009
Aakifah,5,0,2010
